project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
JacksonCore,JacksonCore_2,batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,jacksoncore_2f__parseFloat__line1329_1421,_parseFloat,m05,b7ae76cb17f726b18d351d812c45325dbb27a372539cf236b7ce127486870e1b,SUCCESS,FAIL,True,True,True,7,7,6,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m05.log,com.fasterxml.jackson.core.json.TestParserErrorHandling::testMangledNumbersBytes,True,True,PASS,,,,2,4
JacksonCore,JacksonCore_2,batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,jacksoncore_2f__parseFloat__line1329_1421,_parseFloat,m05,b7ae76cb17f726b18d351d812c45325dbb27a372539cf236b7ce127486870e1b,SUCCESS,FAIL,True,True,True,7,7,6,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m05.log,com.fasterxml.jackson.core.json.TestValueConversions::testAsDouble,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,5
JacksonCore,JacksonCore_2,batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,jacksoncore_2f__parseFloat__line1329_1421,_parseFloat,m05,b7ae76cb17f726b18d351d812c45325dbb27a372539cf236b7ce127486870e1b,SUCCESS,FAIL,True,True,True,7,7,6,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m05.log,com.fasterxml.jackson.core.json.TestValueConversions::testAsInt,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,6
JacksonCore,JacksonCore_2,batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,jacksoncore_2f__parseFloat__line1329_1421,_parseFloat,m05,b7ae76cb17f726b18d351d812c45325dbb27a372539cf236b7ce127486870e1b,SUCCESS,FAIL,True,True,True,7,7,6,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m05.log,com.fasterxml.jackson.core.json.TestValueConversions::testAsLong,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,7
JacksonCore,JacksonCore_2,batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,jacksoncore_2f__parseFloat__line1329_1421,_parseFloat,m07,54598ac7b792cd42062f5eae48d3edfb4ab10d2dd4e73cf490ff0bbdd6395db7,SUCCESS,FAIL,True,True,True,7,7,2,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m07.log,com.fasterxml.jackson.core.json.TestNumericValues::testNumbers,True,True,PASS,,,,1,1
JacksonCore,JacksonCore_2,batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,jacksoncore_2f__parseFloat__line1329_1421,_parseFloat,m07,54598ac7b792cd42062f5eae48d3edfb4ab10d2dd4e73cf490ff0bbdd6395db7,SUCCESS,FAIL,True,True,True,7,7,2,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m07.log,com.fasterxml.jackson.core.json.TestNumericValues::testParsingOfLongerSequences,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,2
JacksonCore,JacksonCore_2,batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,jacksoncore_2f__parseFloat__line1329_1421,_parseFloat,m07,54598ac7b792cd42062f5eae48d3edfb4ab10d2dd4e73cf490ff0bbdd6395db7,SUCCESS,FAIL,True,True,True,7,7,2,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m07.log,com.fasterxml.jackson.core.json.TestNumericValues::testSimpleDouble,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,3
JacksonCore,JacksonCore_2,batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,jacksoncore_2f__parseFloat__line1329_1421,_parseFloat,m07,54598ac7b792cd42062f5eae48d3edfb4ab10d2dd4e73cf490ff0bbdd6395db7,SUCCESS,FAIL,True,True,True,7,7,2,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m07.log,com.fasterxml.jackson.core.json.TestParserErrorHandling::testMangledNumbersBytes,True,True,PASS,,,,1,4
JacksonCore,JacksonCore_2,batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,jacksoncore_2f__parseFloat__line1329_1421,_parseFloat,m07,54598ac7b792cd42062f5eae48d3edfb4ab10d2dd4e73cf490ff0bbdd6395db7,SUCCESS,FAIL,True,True,True,7,7,2,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m07.log,com.fasterxml.jackson.core.json.TestValueConversions::testAsDouble,True,True,PASS,,,,1,5
JacksonCore,JacksonCore_2,batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,jacksoncore_2f__parseFloat__line1329_1421,_parseFloat,m07,54598ac7b792cd42062f5eae48d3edfb4ab10d2dd4e73cf490ff0bbdd6395db7,SUCCESS,FAIL,True,True,True,7,7,2,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m07.log,com.fasterxml.jackson.core.json.TestValueConversions::testAsInt,True,True,PASS,,,,1,6
JacksonCore,JacksonCore_2,batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,jacksoncore_2f__parseFloat__line1329_1421,_parseFloat,m07,54598ac7b792cd42062f5eae48d3edfb4ab10d2dd4e73cf490ff0bbdd6395db7,SUCCESS,FAIL,True,True,True,7,7,2,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m07.log,com.fasterxml.jackson.core.json.TestValueConversions::testAsLong,True,True,PASS,,,,1,7
JacksonCore,JacksonCore_2,batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,jacksoncore_2f__parseFloat__line1329_1421,_parseFloat,m08,3c2dea3bf5170f0299c412afe4542330683c9f9c683bd38df4336914eac9cf9e,SUCCESS,FAIL,True,True,True,7,7,6,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m08.log,com.fasterxml.jackson.core.json.TestNumericValues::testNumbers,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,1
JacksonCore,JacksonCore_2,batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,jacksoncore_2f__parseFloat__line1329_1421,_parseFloat,m08,3c2dea3bf5170f0299c412afe4542330683c9f9c683bd38df4336914eac9cf9e,SUCCESS,FAIL,True,True,True,7,7,6,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m08.log,com.fasterxml.jackson.core.json.TestNumericValues::testParsingOfLongerSequences,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,2
JacksonCore,JacksonCore_2,batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,jacksoncore_2f__parseFloat__line1329_1421,_parseFloat,m08,3c2dea3bf5170f0299c412afe4542330683c9f9c683bd38df4336914eac9cf9e,SUCCESS,FAIL,True,True,True,7,7,6,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m08.log,com.fasterxml.jackson.core.json.TestNumericValues::testSimpleDouble,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,3
JacksonCore,JacksonCore_2,batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,jacksoncore_2f__parseFloat__line1329_1421,_parseFloat,m08,3c2dea3bf5170f0299c412afe4542330683c9f9c683bd38df4336914eac9cf9e,SUCCESS,FAIL,True,True,True,7,7,6,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m08.log,com.fasterxml.jackson.core.json.TestParserErrorHandling::testMangledNumbersBytes,True,True,PASS,,,,2,4
JacksonCore,JacksonCore_2,batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,jacksoncore_2f__parseFloat__line1329_1421,_parseFloat,m08,3c2dea3bf5170f0299c412afe4542330683c9f9c683bd38df4336914eac9cf9e,SUCCESS,FAIL,True,True,True,7,7,6,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m08.log,com.fasterxml.jackson.core.json.TestValueConversions::testAsDouble,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,5
JacksonCore,JacksonCore_2,batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,jacksoncore_2f__parseFloat__line1329_1421,_parseFloat,m08,3c2dea3bf5170f0299c412afe4542330683c9f9c683bd38df4336914eac9cf9e,SUCCESS,FAIL,True,True,True,7,7,6,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m08.log,com.fasterxml.jackson.core.json.TestValueConversions::testAsInt,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,6
JacksonCore,JacksonCore_2,batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,jacksoncore_2f__parseFloat__line1329_1421,_parseFloat,m08,3c2dea3bf5170f0299c412afe4542330683c9f9c683bd38df4336914eac9cf9e,SUCCESS,FAIL,True,True,True,7,7,6,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m08.log,com.fasterxml.jackson.core.json.TestValueConversions::testAsLong,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,7
