run_name,dataset,subject_id,target_id,mutant_id,mutant_hash,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index,build_status,executable,log_path
batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,defects4j,Closure_1,closure_1f_biggestPowerTen__line180_277,m01,121f1d016460fbe4bc37a344688f4eb26bc4902a2fbe1365bbfe491623d8953c,__ZERO_COVERAGE_CONFIRMED__,True,True,PASS,,,,1,1,SUCCESS,True,harness/executions/java/llm/16/batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180/execution/m01.log
batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,defects4j,Closure_1,closure_1f_biggestPowerTen__line180_277,m03,b3593026686569a5981c081bfe435c943c284fbe37c6c4275f43763a8035b7f5,__ZERO_COVERAGE_CONFIRMED__,True,True,PASS,,,,1,1,SUCCESS,True,harness/executions/java/llm/16/batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180/execution/m03.log
batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,defects4j,Closure_1,closure_1f_biggestPowerTen__line180_277,m05,2666df114dd2d6c6482168c714af81030a643e156992be1f579d4fa446b1d66e,__ZERO_COVERAGE_CONFIRMED__,True,True,PASS,,,,1,1,SUCCESS,True,harness/executions/java/llm/16/batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180/execution/m05.log
batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,defects4j,Closure_1,closure_1f_biggestPowerTen__line180_277,m07,761cc8bd7ba145c3c9d7fd27b1507e083eca4c51a3f661d1bb208dbad29d0f53,__ZERO_COVERAGE_CONFIRMED__,True,True,PASS,,,,1,1,SUCCESS,True,harness/executions/java/llm/16/batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180/execution/m07.log
batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,defects4j,Closure_1,closure_1f_biggestPowerTen__line180_277,m09,5782dc6257a51465bb0ac7c7f710a6979a49531f2912079f18dba69db5a198d0,__ZERO_COVERAGE_CONFIRMED__,True,True,PASS,,,,1,1,SUCCESS,True,harness/executions/java/llm/16/batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180/execution/m09.log
batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,defects4j,Closure_1,closure_1f_biggestPowerTen__line180_277,m11,03acfcadf59ba0ad91bd540d36e50eb528299b224de68414990ce6503faeda9d,__ZERO_COVERAGE_CONFIRMED__,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,1,FAIL,False,harness/executions/java/llm/16/batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180/execution/m11.log
batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,defects4j,Closure_1,closure_1f_biggestPowerTen__line180_277,m13,937a720a2238b27378c88c61403fcc6f078ae10489da3ea778ca6a78f168e0cd,__ZERO_COVERAGE_CONFIRMED__,True,True,PASS,,,,1,1,SUCCESS,True,harness/executions/java/llm/16/batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180/execution/m13.log
batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,defects4j,Closure_1,closure_1f_biggestPowerTen__line180_277,m15,6fc91f44b5d2b22a2edb6a7e795a7d9a161da2788c39185dc096cc53e5946b72,__ZERO_COVERAGE_CONFIRMED__,True,True,PASS,,,,1,1,SUCCESS,True,harness/executions/java/llm/16/batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180/execution/m15.log
batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,defects4j,Closure_1,closure_1f_biggestPowerTen__line180_277,m02,6b055cb0d944399c9d7c416a562a7a793c900aaa5084080f4437363101e35e62,__ZERO_COVERAGE_CONFIRMED__,True,True,PASS,,,,2,1,SUCCESS,True,harness/executions/java/llm/16/batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180/execution/m02.log
batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,defects4j,Closure_1,closure_1f_biggestPowerTen__line180_277,m04,01ed6ab2aaa3d88b1c6513a5187996df9d17c0352ab4b560bc3dea35defdaf98,__ZERO_COVERAGE_CONFIRMED__,True,True,PASS,,,,2,1,SUCCESS,True,harness/executions/java/llm/16/batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180/execution/m04.log
batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,defects4j,Closure_1,closure_1f_biggestPowerTen__line180_277,m06,b2dd527a2acdd7a576ec8bf18aee6c41dc4cae28bb0e164c80bbcf7c0df66635,__ZERO_COVERAGE_CONFIRMED__,True,True,PASS,,,,2,1,SUCCESS,True,harness/executions/java/llm/16/batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180/execution/m06.log
batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,defects4j,Closure_1,closure_1f_biggestPowerTen__line180_277,m08,b0de871602332fe15696cd7e4fe1581066653181d07c54ff665a45fdaa301a07,__ZERO_COVERAGE_CONFIRMED__,True,True,PASS,,,,2,1,SUCCESS,True,harness/executions/java/llm/16/batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180/execution/m08.log
batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,defects4j,Closure_1,closure_1f_biggestPowerTen__line180_277,m10,6578ca2191baad2d312e1a9e508ce5660b203cd0cf0c3e48b9ec8c80845e097b,__ZERO_COVERAGE_CONFIRMED__,True,True,PASS,,,,2,1,SUCCESS,True,harness/executions/java/llm/16/batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180/execution/m10.log
batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,defects4j,Closure_1,closure_1f_biggestPowerTen__line180_277,m12,e973d921fb304ec9dea7d28f552c54c72aabb7c98786c3e471ac7b2c939bff22,__ZERO_COVERAGE_CONFIRMED__,True,True,PASS,,,,2,1,SUCCESS,True,harness/executions/java/llm/16/batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180/execution/m12.log
batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,defects4j,Closure_1,closure_1f_biggestPowerTen__line180_277,m14,aa6d8420a14c088f1df2fd3a4442ea6c6188e5b58cac3b213770128bac2d01b4,__ZERO_COVERAGE_CONFIRMED__,True,True,PASS,,,,2,1,SUCCESS,True,harness/executions/java/llm/16/batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180/execution/m14.log
batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,defects4j,Closure_1,closure_1f_biggestPowerTen__line180_277,m16,dc22951896f1121ac77286a056b02dc415b93ec62170dd1727d4ff414b75b100,__ZERO_COVERAGE_CONFIRMED__,True,True,PASS,,,,2,1,SUCCESS,True,harness/executions/java/llm/16/batch12__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180/execution/m16.log
