run_name,dataset,subject_id,target_id,mutant_id,mutant_hash,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index,build_status,executable,log_path
batch13__JxPath_1__computeContextDependent__jxpath_1f_computeContextDependent_line142,defects4j,JxPath_1,jxpath_1f_computeContextDependent__line142_186,m03,839973d0aa90a96bdc97818c726c426a0c01946fabe288b2dac67bbd77e32aa9,org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest::testExpressionContext,True,True,PASS,,,,3,1,SUCCESS,True,harness/executions/java/llm/16/batch13__JxPath_1__computeContextDependent__jxpath_1f_computeContextDependent_line142/execution/m03.log
batch13__JxPath_1__computeContextDependent__jxpath_1f_computeContextDependent_line142,defects4j,JxPath_1,jxpath_1f_computeContextDependent__line142_186,m07,43ed7b6c0db1a3119df8c49d0b8bbf2be288aed676423b789c1f4c3dfdf23398,org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest::testExpressionContext,True,True,PASS,,,,3,1,SUCCESS,True,harness/executions/java/llm/16/batch13__JxPath_1__computeContextDependent__jxpath_1f_computeContextDependent_line142/execution/m07.log
batch13__JxPath_1__computeContextDependent__jxpath_1f_computeContextDependent_line142,defects4j,JxPath_1,jxpath_1f_computeContextDependent__line142_186,m11,23dcfe70f3cc1b03c4cd0a3445f6c426fa0a5cebe8e867d37e916268ac1b4a9a,org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest::testExpressionContext,True,True,PASS,,,,3,1,SUCCESS,True,harness/executions/java/llm/16/batch13__JxPath_1__computeContextDependent__jxpath_1f_computeContextDependent_line142/execution/m11.log
batch13__JxPath_1__computeContextDependent__jxpath_1f_computeContextDependent_line142,defects4j,JxPath_1,jxpath_1f_computeContextDependent__line142_186,m15,8955c69d3a81043f8839cfd58a96f15b01076b3fb3df900e31c531ed5e393ba5,org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest::testExpressionContext,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,3,1,FAIL,False,harness/executions/java/llm/16/batch13__JxPath_1__computeContextDependent__jxpath_1f_computeContextDependent_line142/execution/m15.log
batch13__JxPath_1__computeContextDependent__jxpath_1f_computeContextDependent_line142,defects4j,JxPath_1,jxpath_1f_computeContextDependent__line142_186,m01,22f39ace01e7c57c516a758f4055e91410a01176d0d98acea241ba2fb85204c9,org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest::testExpressionContext,True,True,PASS,,,,1,1,SUCCESS,True,harness/executions/java/llm/16/batch13__JxPath_1__computeContextDependent__jxpath_1f_computeContextDependent_line142/execution/m01.log
batch13__JxPath_1__computeContextDependent__jxpath_1f_computeContextDependent_line142,defects4j,JxPath_1,jxpath_1f_computeContextDependent__line142_186,m05,812885097afa9a0a831b25fedcfb5d228b4e6ede83cdcbb833abfb902902c163,org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest::testExpressionContext,True,True,PASS,,,,1,1,SUCCESS,True,harness/executions/java/llm/16/batch13__JxPath_1__computeContextDependent__jxpath_1f_computeContextDependent_line142/execution/m05.log
batch13__JxPath_1__computeContextDependent__jxpath_1f_computeContextDependent_line142,defects4j,JxPath_1,jxpath_1f_computeContextDependent__line142_186,m09,e2739bb7890ce28d027e8752f082041a9a2745d5501a83304d8022607d264b6a,org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest::testExpressionContext,True,True,PASS,,,,1,1,SUCCESS,True,harness/executions/java/llm/16/batch13__JxPath_1__computeContextDependent__jxpath_1f_computeContextDependent_line142/execution/m09.log
batch13__JxPath_1__computeContextDependent__jxpath_1f_computeContextDependent_line142,defects4j,JxPath_1,jxpath_1f_computeContextDependent__line142_186,m13,262a2db18ba7706e2d1df0532abb6e7f9b0acbcc7dae80feaa0ca69849f86771,org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest::testExpressionContext,True,True,PASS,,,,1,1,SUCCESS,True,harness/executions/java/llm/16/batch13__JxPath_1__computeContextDependent__jxpath_1f_computeContextDependent_line142/execution/m13.log
batch13__JxPath_1__computeContextDependent__jxpath_1f_computeContextDependent_line142,defects4j,JxPath_1,jxpath_1f_computeContextDependent__line142_186,m02,71412376836d13ac01298e1d2b4d0b8a38ab24509f8f480b5a38c8c186e4413c,org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest::testExpressionContext,True,True,PASS,,,,2,1,SUCCESS,True,harness/executions/java/llm/16/batch13__JxPath_1__computeContextDependent__jxpath_1f_computeContextDependent_line142/execution/m02.log
batch13__JxPath_1__computeContextDependent__jxpath_1f_computeContextDependent_line142,defects4j,JxPath_1,jxpath_1f_computeContextDependent__line142_186,m06,23c7cb7a610328fb694f9be2c8ae2e60bba56bea563e1d07d2cd0e683c20a0c1,org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest::testExpressionContext,True,True,PASS,,,,2,1,SUCCESS,True,harness/executions/java/llm/16/batch13__JxPath_1__computeContextDependent__jxpath_1f_computeContextDependent_line142/execution/m06.log
