project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Cli,Cli_1,batch06__Cli_1__processProperties__cli_1f_processProperties_line228,cli_1f_processProperties__line228_273,processProperties,m01,ceb990604190756f0f97c3ab7e37a78bb3d8e941ce57e901c973e1f355500d99,SUCCESS,FAIL,True,True,True,67,67,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_1__processProperties__cli_1f_processProperties_line228/execution/m01.log,org.apache.commons.cli.ApplicationTest::testAnt,True,True,PASS,,,,1,1
Cli,Cli_1,batch06__Cli_1__processProperties__cli_1f_processProperties_line228,cli_1f_processProperties__line228_273,processProperties,m01,ceb990604190756f0f97c3ab7e37a78bb3d8e941ce57e901c973e1f355500d99,SUCCESS,FAIL,True,True,True,67,67,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_1__processProperties__cli_1f_processProperties_line228/execution/m01.log,org.apache.commons.cli.ApplicationTest::testLs,True,True,PASS,,,,1,2
Cli,Cli_1,batch06__Cli_1__processProperties__cli_1f_processProperties_line228,cli_1f_processProperties__line228_273,processProperties,m01,ceb990604190756f0f97c3ab7e37a78bb3d8e941ce57e901c973e1f355500d99,SUCCESS,FAIL,True,True,True,67,67,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_1__processProperties__cli_1f_processProperties_line228/execution/m01.log,org.apache.commons.cli.ArgumentIsOptionTest::testOption,True,True,PASS,,,,1,3
Cli,Cli_1,batch06__Cli_1__processProperties__cli_1f_processProperties_line228,cli_1f_processProperties__line228_273,processProperties,m01,ceb990604190756f0f97c3ab7e37a78bb3d8e941ce57e901c973e1f355500d99,SUCCESS,FAIL,True,True,True,67,67,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_1__processProperties__cli_1f_processProperties_line228/execution/m01.log,org.apache.commons.cli.ArgumentIsOptionTest::testOptionAndOptionWithArgument,True,True,PASS,,,,1,4
Cli,Cli_1,batch06__Cli_1__processProperties__cli_1f_processProperties_line228,cli_1f_processProperties__line228_273,processProperties,m01,ceb990604190756f0f97c3ab7e37a78bb3d8e941ce57e901c973e1f355500d99,SUCCESS,FAIL,True,True,True,67,67,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_1__processProperties__cli_1f_processProperties_line228/execution/m01.log,org.apache.commons.cli.ArgumentIsOptionTest::testOptionWithArgument,True,True,PASS,,,,1,5
Cli,Cli_1,batch06__Cli_1__processProperties__cli_1f_processProperties_line228,cli_1f_processProperties__line228_273,processProperties,m01,ceb990604190756f0f97c3ab7e37a78bb3d8e941ce57e901c973e1f355500d99,SUCCESS,FAIL,True,True,True,67,67,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_1__processProperties__cli_1f_processProperties_line228/execution/m01.log,org.apache.commons.cli.BugsTest::test11456,True,True,PASS,,,,1,6
Cli,Cli_1,batch06__Cli_1__processProperties__cli_1f_processProperties_line228,cli_1f_processProperties__line228_273,processProperties,m01,ceb990604190756f0f97c3ab7e37a78bb3d8e941ce57e901c973e1f355500d99,SUCCESS,FAIL,True,True,True,67,67,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_1__processProperties__cli_1f_processProperties_line228/execution/m01.log,org.apache.commons.cli.BugsTest::test11457,True,True,PASS,,,,1,7
Cli,Cli_1,batch06__Cli_1__processProperties__cli_1f_processProperties_line228,cli_1f_processProperties__line228_273,processProperties,m01,ceb990604190756f0f97c3ab7e37a78bb3d8e941ce57e901c973e1f355500d99,SUCCESS,FAIL,True,True,True,67,67,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_1__processProperties__cli_1f_processProperties_line228/execution/m01.log,org.apache.commons.cli.BugsTest::test11458,True,True,PASS,,,,1,8
Cli,Cli_1,batch06__Cli_1__processProperties__cli_1f_processProperties_line228,cli_1f_processProperties__line228_273,processProperties,m01,ceb990604190756f0f97c3ab7e37a78bb3d8e941ce57e901c973e1f355500d99,SUCCESS,FAIL,True,True,True,67,67,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_1__processProperties__cli_1f_processProperties_line228/execution/m01.log,org.apache.commons.cli.BugsTest::test11680,True,True,PASS,,,,1,9
Cli,Cli_1,batch06__Cli_1__processProperties__cli_1f_processProperties_line228,cli_1f_processProperties__line228_273,processProperties,m01,ceb990604190756f0f97c3ab7e37a78bb3d8e941ce57e901c973e1f355500d99,SUCCESS,FAIL,True,True,True,67,67,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_1__processProperties__cli_1f_processProperties_line228/execution/m01.log,org.apache.commons.cli.BugsTest::test12210,True,True,PASS,,,,1,10
