project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Lang,Lang_1,batch07__Lang_1__equals__lang_1f_equals_line122,lang_1f_equals__line122_153,equals,m01,eda50dc709c741764ff1cc663c9c595844d16cb2c4273e8f753d713ef85b073d,SUCCESS,FAIL,True,True,True,7,7,2,0,0,0,test_results.csv,harness/executions/java/llm/batch07/runs/batch07__Lang_1__equals__lang_1f_equals_line122/execution/m01.log,org.apache.commons.lang3.AnnotationUtilsTest::testAnnotationsOfDifferingTypes,True,True,PASS,,,,1,1
Lang,Lang_1,batch07__Lang_1__equals__lang_1f_equals_line122,lang_1f_equals__line122_153,equals,m01,eda50dc709c741764ff1cc663c9c595844d16cb2c4273e8f753d713ef85b073d,SUCCESS,FAIL,True,True,True,7,7,2,0,0,0,test_results.csv,harness/executions/java/llm/batch07/runs/batch07__Lang_1__equals__lang_1f_equals_line122/execution/m01.log,org.apache.commons.lang3.AnnotationUtilsTest::testBothArgsNull,True,True,PASS,,,,1,2
Lang,Lang_1,batch07__Lang_1__equals__lang_1f_equals_line122,lang_1f_equals__line122_153,equals,m01,eda50dc709c741764ff1cc663c9c595844d16cb2c4273e8f753d713ef85b073d,SUCCESS,FAIL,True,True,True,7,7,2,0,0,0,test_results.csv,harness/executions/java/llm/batch07/runs/batch07__Lang_1__equals__lang_1f_equals_line122/execution/m01.log,org.apache.commons.lang3.AnnotationUtilsTest::testEquivalence,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,3
Lang,Lang_1,batch07__Lang_1__equals__lang_1f_equals_line122,lang_1f_equals__line122_153,equals,m01,eda50dc709c741764ff1cc663c9c595844d16cb2c4273e8f753d713ef85b073d,SUCCESS,FAIL,True,True,True,7,7,2,0,0,0,test_results.csv,harness/executions/java/llm/batch07/runs/batch07__Lang_1__equals__lang_1f_equals_line122/execution/m01.log,org.apache.commons.lang3.AnnotationUtilsTest::testGeneratedAnnotationEquivalentToRealAnnotation,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,4
Lang,Lang_1,batch07__Lang_1__equals__lang_1f_equals_line122,lang_1f_equals__line122_153,equals,m01,eda50dc709c741764ff1cc663c9c595844d16cb2c4273e8f753d713ef85b073d,SUCCESS,FAIL,True,True,True,7,7,2,0,0,0,test_results.csv,harness/executions/java/llm/batch07/runs/batch07__Lang_1__equals__lang_1f_equals_line122/execution/m01.log,org.apache.commons.lang3.AnnotationUtilsTest::testNonEquivalentAnnotationsOfSameType,True,True,PASS,,,,1,5
Lang,Lang_1,batch07__Lang_1__equals__lang_1f_equals_line122,lang_1f_equals__line122_153,equals,m01,eda50dc709c741764ff1cc663c9c595844d16cb2c4273e8f753d713ef85b073d,SUCCESS,FAIL,True,True,True,7,7,2,0,0,0,test_results.csv,harness/executions/java/llm/batch07/runs/batch07__Lang_1__equals__lang_1f_equals_line122/execution/m01.log,org.apache.commons.lang3.AnnotationUtilsTest::testOneArgNull,True,True,PASS,,,,1,6
Lang,Lang_1,batch07__Lang_1__equals__lang_1f_equals_line122,lang_1f_equals__line122_153,equals,m01,eda50dc709c741764ff1cc663c9c595844d16cb2c4273e8f753d713ef85b073d,SUCCESS,FAIL,True,True,True,7,7,2,0,0,0,test_results.csv,harness/executions/java/llm/batch07/runs/batch07__Lang_1__equals__lang_1f_equals_line122/execution/m01.log,org.apache.commons.lang3.AnnotationUtilsTest::testSameInstance,True,True,PASS,,,,1,7
Lang,Lang_1,batch07__Lang_1__equals__lang_1f_equals_line122,lang_1f_equals__line122_153,equals,m02,974c953d90dfb573168be7a47f30374f15e2f2b49f5c1fc401957c094333a0be,SUCCESS,PASS,False,False,True,7,7,0,0,0,0,test_results.csv,harness/executions/java/llm/batch07/runs/batch07__Lang_1__equals__lang_1f_equals_line122/execution/m02.log,org.apache.commons.lang3.AnnotationUtilsTest::testAnnotationsOfDifferingTypes,True,True,PASS,,,,2,1
Lang,Lang_1,batch07__Lang_1__equals__lang_1f_equals_line122,lang_1f_equals__line122_153,equals,m02,974c953d90dfb573168be7a47f30374f15e2f2b49f5c1fc401957c094333a0be,SUCCESS,PASS,False,False,True,7,7,0,0,0,0,test_results.csv,harness/executions/java/llm/batch07/runs/batch07__Lang_1__equals__lang_1f_equals_line122/execution/m02.log,org.apache.commons.lang3.AnnotationUtilsTest::testBothArgsNull,True,True,PASS,,,,2,2
Lang,Lang_1,batch07__Lang_1__equals__lang_1f_equals_line122,lang_1f_equals__line122_153,equals,m02,974c953d90dfb573168be7a47f30374f15e2f2b49f5c1fc401957c094333a0be,SUCCESS,PASS,False,False,True,7,7,0,0,0,0,test_results.csv,harness/executions/java/llm/batch07/runs/batch07__Lang_1__equals__lang_1f_equals_line122/execution/m02.log,org.apache.commons.lang3.AnnotationUtilsTest::testEquivalence,True,True,PASS,,,,2,3
