project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
JacksonXml,JacksonXml_1,batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,jacksonxml_1f_hasXMLFormat__line682_770,hasXMLFormat,m02,d1fd74692369ae730ef81899694bdba4843e9064f0344f75faf8b4532d9bc09e,SUCCESS,PASS,False,False,True,8,8,0,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m02.log,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleValidComment,True,True,PASS,,,,2,3
JacksonXml,JacksonXml_1,batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,jacksonxml_1f_hasXMLFormat__line682_770,hasXMLFormat,m02,d1fd74692369ae730ef81899694bdba4843e9064f0344f75faf8b4532d9bc09e,SUCCESS,PASS,False,False,True,8,8,0,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m02.log,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleValidDoctype,True,True,PASS,,,,2,4
JacksonXml,JacksonXml_1,batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,jacksonxml_1f_hasXMLFormat__line682_770,hasXMLFormat,m02,d1fd74692369ae730ef81899694bdba4843e9064f0344f75faf8b4532d9bc09e,SUCCESS,PASS,False,False,True,8,8,0,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m02.log,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleValidPI,True,True,PASS,,,,2,5
JacksonXml,JacksonXml_1,batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,jacksonxml_1f_hasXMLFormat__line682_770,hasXMLFormat,m02,d1fd74692369ae730ef81899694bdba4843e9064f0344f75faf8b4532d9bc09e,SUCCESS,PASS,False,False,True,8,8,0,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m02.log,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleValidRoot,True,True,PASS,,,,2,6
JacksonXml,JacksonXml_1,batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,jacksonxml_1f_hasXMLFormat__line682_770,hasXMLFormat,m02,d1fd74692369ae730ef81899694bdba4843e9064f0344f75faf8b4532d9bc09e,SUCCESS,PASS,False,False,True,8,8,0,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m02.log,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleValidXmlDecl,True,True,PASS,,,,2,7
JacksonXml,JacksonXml_1,batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,jacksonxml_1f_hasXMLFormat__line682_770,hasXMLFormat,m02,d1fd74692369ae730ef81899694bdba4843e9064f0344f75faf8b4532d9bc09e,SUCCESS,PASS,False,False,True,8,8,0,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m02.log,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleViaObjectReader,True,True,PASS,,,,2,8
JacksonXml,JacksonXml_1,batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,jacksonxml_1f_hasXMLFormat__line682_770,hasXMLFormat,m04,b255f7ccf83cb8f5a439ef21aaaf86df526db1583a191b47f9a2b8c67abf6801,SUCCESS,FAIL,True,True,True,8,8,1,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m04.log,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testListViaObjectReader,True,True,PASS,,,,1,1
JacksonXml,JacksonXml_1,batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,jacksonxml_1f_hasXMLFormat__line682_770,hasXMLFormat,m04,b255f7ccf83cb8f5a439ef21aaaf86df526db1583a191b47f9a2b8c67abf6801,SUCCESS,FAIL,True,True,True,8,8,1,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m04.log,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleInvalid,True,True,PASS,,,,1,2
JacksonXml,JacksonXml_1,batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,jacksonxml_1f_hasXMLFormat__line682_770,hasXMLFormat,m04,b255f7ccf83cb8f5a439ef21aaaf86df526db1583a191b47f9a2b8c67abf6801,SUCCESS,FAIL,True,True,True,8,8,1,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m04.log,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleValidComment,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,3
JacksonXml,JacksonXml_1,batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,jacksonxml_1f_hasXMLFormat__line682_770,hasXMLFormat,m04,b255f7ccf83cb8f5a439ef21aaaf86df526db1583a191b47f9a2b8c67abf6801,SUCCESS,FAIL,True,True,True,8,8,1,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m04.log,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleValidDoctype,True,True,PASS,,,,1,4
JacksonXml,JacksonXml_1,batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,jacksonxml_1f_hasXMLFormat__line682_770,hasXMLFormat,m04,b255f7ccf83cb8f5a439ef21aaaf86df526db1583a191b47f9a2b8c67abf6801,SUCCESS,FAIL,True,True,True,8,8,1,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m04.log,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleValidPI,True,True,PASS,,,,1,5
JacksonXml,JacksonXml_1,batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,jacksonxml_1f_hasXMLFormat__line682_770,hasXMLFormat,m04,b255f7ccf83cb8f5a439ef21aaaf86df526db1583a191b47f9a2b8c67abf6801,SUCCESS,FAIL,True,True,True,8,8,1,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m04.log,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleValidRoot,True,True,PASS,,,,1,6
JacksonXml,JacksonXml_1,batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,jacksonxml_1f_hasXMLFormat__line682_770,hasXMLFormat,m04,b255f7ccf83cb8f5a439ef21aaaf86df526db1583a191b47f9a2b8c67abf6801,SUCCESS,FAIL,True,True,True,8,8,1,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m04.log,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleValidXmlDecl,True,True,PASS,,,,1,7
JacksonXml,JacksonXml_1,batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,jacksonxml_1f_hasXMLFormat__line682_770,hasXMLFormat,m04,b255f7ccf83cb8f5a439ef21aaaf86df526db1583a191b47f9a2b8c67abf6801,SUCCESS,FAIL,True,True,True,8,8,1,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m04.log,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleViaObjectReader,True,True,PASS,,,,1,8
