project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Collections,Collections_22,batch06__Collections_22__size__collections_22f_size_line1301,collections_22f_size__line1301_1332,size,m01,084cca9cf613863a429d2aa854a428d78d53a5d2db1b433705b1a5292d7589a7,SUCCESS,FAIL,True,True,True,17,17,1,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_22__size__collections_22f_size_line1301/execution/m01.log,org.apache.commons.collections4.CollectionUtilsTest::testSize_Array,True,True,PASS,,,,1,1
Collections,Collections_22,batch06__Collections_22__size__collections_22f_size_line1301,collections_22f_size__line1301_1332,size,m01,084cca9cf613863a429d2aa854a428d78d53a5d2db1b433705b1a5292d7589a7,SUCCESS,FAIL,True,True,True,17,17,1,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_22__size__collections_22f_size_line1301/execution/m01.log,org.apache.commons.collections4.CollectionUtilsTest::testSize_Enumeration,True,True,PASS,,,,1,2
Collections,Collections_22,batch06__Collections_22__size__collections_22f_size_line1301,collections_22f_size__line1301_1332,size,m01,084cca9cf613863a429d2aa854a428d78d53a5d2db1b433705b1a5292d7589a7,SUCCESS,FAIL,True,True,True,17,17,1,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_22__size__collections_22f_size_line1301/execution/m01.log,org.apache.commons.collections4.CollectionUtilsTest::testSize_Iterator,True,True,PASS,,,,1,3
Collections,Collections_22,batch06__Collections_22__size__collections_22f_size_line1301,collections_22f_size__line1301_1332,size,m01,084cca9cf613863a429d2aa854a428d78d53a5d2db1b433705b1a5292d7589a7,SUCCESS,FAIL,True,True,True,17,17,1,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_22__size__collections_22f_size_line1301/execution/m01.log,org.apache.commons.collections4.CollectionUtilsTest::testSize_List,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,4
Collections,Collections_22,batch06__Collections_22__size__collections_22f_size_line1301,collections_22f_size__line1301_1332,size,m01,084cca9cf613863a429d2aa854a428d78d53a5d2db1b433705b1a5292d7589a7,SUCCESS,FAIL,True,True,True,17,17,1,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_22__size__collections_22f_size_line1301/execution/m01.log,org.apache.commons.collections4.CollectionUtilsTest::testSize_Map,True,True,PASS,,,,1,5
Collections,Collections_22,batch06__Collections_22__size__collections_22f_size_line1301,collections_22f_size__line1301_1332,size,m01,084cca9cf613863a429d2aa854a428d78d53a5d2db1b433705b1a5292d7589a7,SUCCESS,FAIL,True,True,True,17,17,1,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_22__size__collections_22f_size_line1301/execution/m01.log,org.apache.commons.collections4.CollectionUtilsTest::testSize_Other,True,True,PASS,,,,1,6
Collections,Collections_22,batch06__Collections_22__size__collections_22f_size_line1301,collections_22f_size__line1301_1332,size,m01,084cca9cf613863a429d2aa854a428d78d53a5d2db1b433705b1a5292d7589a7,SUCCESS,FAIL,True,True,True,17,17,1,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_22__size__collections_22f_size_line1301/execution/m01.log,org.apache.commons.collections4.CollectionUtilsTest::testSize_PrimitiveArray,True,True,PASS,,,,1,7
Collections,Collections_22,batch06__Collections_22__size__collections_22f_size_line1301,collections_22f_size__line1301_1332,size,m01,084cca9cf613863a429d2aa854a428d78d53a5d2db1b433705b1a5292d7589a7,SUCCESS,FAIL,True,True,True,17,17,1,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_22__size__collections_22f_size_line1301/execution/m01.log,org.apache.commons.collections4.MapUtilsTest::testPopulateMultiMap,True,True,PASS,,,,1,8
Collections,Collections_22,batch06__Collections_22__size__collections_22f_size_line1301,collections_22f_size__line1301_1332,size,m01,084cca9cf613863a429d2aa854a428d78d53a5d2db1b433705b1a5292d7589a7,SUCCESS,FAIL,True,True,True,17,17,1,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_22__size__collections_22f_size_line1301/execution/m01.log,org.apache.commons.collections4.map.MultiValueMapTest::testIterator,True,True,PASS,,,,1,9
Collections,Collections_22,batch06__Collections_22__size__collections_22f_size_line1301,collections_22f_size__line1301_1332,size,m01,084cca9cf613863a429d2aa854a428d78d53a5d2db1b433705b1a5292d7589a7,SUCCESS,FAIL,True,True,True,17,17,1,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_22__size__collections_22f_size_line1301/execution/m01.log,org.apache.commons.collections4.map.MultiValueMapTest::testPutAll_Map1,True,True,PASS,,,,1,10
