project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Csv,Csv_4,batch06__Csv_4__nextToken__csv_4f_nextToken_line82,csv_4f_nextToken__line82_164,nextToken,m01,a11a0c4fc41f032f05a40d695c7ead92911cc447954d7bcf26d469df7827aad1,SUCCESS,FAIL,True,True,True,65,65,6,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Csv_4__nextToken__csv_4f_nextToken_line82/execution/m01.log,org.apache.commons.csv.CSVParserTest::testBackslashEscaping,True,True,PASS,,,,1,1
Csv,Csv_4,batch06__Csv_4__nextToken__csv_4f_nextToken_line82,csv_4f_nextToken__line82_164,nextToken,m01,a11a0c4fc41f032f05a40d695c7ead92911cc447954d7bcf26d469df7827aad1,SUCCESS,FAIL,True,True,True,65,65,6,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Csv_4__nextToken__csv_4f_nextToken_line82/execution/m01.log,org.apache.commons.csv.CSVParserTest::testBackslashEscaping2,True,True,PASS,,,,1,2
Csv,Csv_4,batch06__Csv_4__nextToken__csv_4f_nextToken_line82,csv_4f_nextToken__line82_164,nextToken,m01,a11a0c4fc41f032f05a40d695c7ead92911cc447954d7bcf26d469df7827aad1,SUCCESS,FAIL,True,True,True,65,65,6,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Csv_4__nextToken__csv_4f_nextToken_line82/execution/m01.log,org.apache.commons.csv.CSVParserTest::testCSV57,True,True,PASS,,,,1,3
Csv,Csv_4,batch06__Csv_4__nextToken__csv_4f_nextToken_line82,csv_4f_nextToken__line82_164,nextToken,m01,a11a0c4fc41f032f05a40d695c7ead92911cc447954d7bcf26d469df7827aad1,SUCCESS,FAIL,True,True,True,65,65,6,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Csv_4__nextToken__csv_4f_nextToken_line82/execution/m01.log,org.apache.commons.csv.CSVParserTest::testCarriageReturnEndings,True,True,PASS,,,,1,4
Csv,Csv_4,batch06__Csv_4__nextToken__csv_4f_nextToken_line82,csv_4f_nextToken__line82_164,nextToken,m01,a11a0c4fc41f032f05a40d695c7ead92911cc447954d7bcf26d469df7827aad1,SUCCESS,FAIL,True,True,True,65,65,6,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Csv_4__nextToken__csv_4f_nextToken_line82/execution/m01.log,org.apache.commons.csv.CSVParserTest::testCarriageReturnLineFeedEndings,True,True,PASS,,,,1,5
Csv,Csv_4,batch06__Csv_4__nextToken__csv_4f_nextToken_line82,csv_4f_nextToken__line82_164,nextToken,m01,a11a0c4fc41f032f05a40d695c7ead92911cc447954d7bcf26d469df7827aad1,SUCCESS,FAIL,True,True,True,65,65,6,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Csv_4__nextToken__csv_4f_nextToken_line82/execution/m01.log,org.apache.commons.csv.CSVParserTest::testClose,True,True,PASS,,,,1,6
Csv,Csv_4,batch06__Csv_4__nextToken__csv_4f_nextToken_line82,csv_4f_nextToken__line82_164,nextToken,m01,a11a0c4fc41f032f05a40d695c7ead92911cc447954d7bcf26d469df7827aad1,SUCCESS,FAIL,True,True,True,65,65,6,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Csv_4__nextToken__csv_4f_nextToken_line82/execution/m01.log,org.apache.commons.csv.CSVParserTest::testDefaultFormat,True,True,PASS,,,,1,7
Csv,Csv_4,batch06__Csv_4__nextToken__csv_4f_nextToken_line82,csv_4f_nextToken__line82_164,nextToken,m01,a11a0c4fc41f032f05a40d695c7ead92911cc447954d7bcf26d469df7827aad1,SUCCESS,FAIL,True,True,True,65,65,6,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Csv_4__nextToken__csv_4f_nextToken_line82/execution/m01.log,org.apache.commons.csv.CSVParserTest::testEmptyFile,True,True,PASS,,,,1,8
Csv,Csv_4,batch06__Csv_4__nextToken__csv_4f_nextToken_line82,csv_4f_nextToken__line82_164,nextToken,m01,a11a0c4fc41f032f05a40d695c7ead92911cc447954d7bcf26d469df7827aad1,SUCCESS,FAIL,True,True,True,65,65,6,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Csv_4__nextToken__csv_4f_nextToken_line82/execution/m01.log,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourCSV,True,True,PASS,,,,1,9
Csv,Csv_4,batch06__Csv_4__nextToken__csv_4f_nextToken_line82,csv_4f_nextToken__line82_164,nextToken,m01,a11a0c4fc41f032f05a40d695c7ead92911cc447954d7bcf26d469df7827aad1,SUCCESS,FAIL,True,True,True,65,65,6,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Csv_4__nextToken__csv_4f_nextToken_line82/execution/m01.log,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourExcel,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,10
Csv,Csv_4,batch06__Csv_4__nextToken__csv_4f_nextToken_line82,csv_4f_nextToken__line82_164,nextToken,m01,a11a0c4fc41f032f05a40d695c7ead92911cc447954d7bcf26d469df7827aad1,SUCCESS,FAIL,True,True,True,65,65,6,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Csv_4__nextToken__csv_4f_nextToken_line82/execution/m01.log,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviorCSV,True,True,PASS,,,,1,11
