project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Math,Math_1,batch05__Math_1__equals__math_1f_equals_line982,math_1f_equals__line982_1004,equals,m01,0cb7239dd5c958a463f22c79919f9dea327d61b3bde644b4d2bd92af8db8dbbc,SUCCESS,FAIL,True,True,True,32,32,32,0,0,0,test_results.csv,harness/executions/runs/batch05__Math_1__equals__math_1f_equals_line982/execution/m01.log,org.apache.commons.math3.linear.BlockFieldMatrixTest::testCopyFunctions,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,1
Math,Math_1,batch05__Math_1__equals__math_1f_equals_line982,math_1f_equals__line982_1004,equals,m01,0cb7239dd5c958a463f22c79919f9dea327d61b3bde644b4d2bd92af8db8dbbc,SUCCESS,FAIL,True,True,True,32,32,32,0,0,0,test_results.csv,harness/executions/runs/batch05__Math_1__equals__math_1f_equals_line982/execution/m01.log,org.apache.commons.math3.linear.BlockFieldMatrixTest::testCopySubMatrix,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,2
Math,Math_1,batch05__Math_1__equals__math_1f_equals_line982,math_1f_equals__line982_1004,equals,m01,0cb7239dd5c958a463f22c79919f9dea327d61b3bde644b4d2bd92af8db8dbbc,SUCCESS,FAIL,True,True,True,32,32,32,0,0,0,test_results.csv,harness/executions/runs/batch05__Math_1__equals__math_1f_equals_line982/execution/m01.log,org.apache.commons.math3.linear.BlockFieldMatrixTest::testEqualsAndHashCode,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,3
Math,Math_1,batch05__Math_1__equals__math_1f_equals_line982,math_1f_equals__line982_1004,equals,m01,0cb7239dd5c958a463f22c79919f9dea327d61b3bde644b4d2bd92af8db8dbbc,SUCCESS,FAIL,True,True,True,32,32,32,0,0,0,test_results.csv,harness/executions/runs/batch05__Math_1__equals__math_1f_equals_line982/execution/m01.log,org.apache.commons.math3.linear.BlockFieldMatrixTest::testGetColumnMatrix,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,4
Math,Math_1,batch05__Math_1__equals__math_1f_equals_line982,math_1f_equals__line982_1004,equals,m01,0cb7239dd5c958a463f22c79919f9dea327d61b3bde644b4d2bd92af8db8dbbc,SUCCESS,FAIL,True,True,True,32,32,32,0,0,0,test_results.csv,harness/executions/runs/batch05__Math_1__equals__math_1f_equals_line982/execution/m01.log,org.apache.commons.math3.linear.BlockFieldMatrixTest::testGetRowMatrix,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,5
Math,Math_1,batch05__Math_1__equals__math_1f_equals_line982,math_1f_equals__line982_1004,equals,m01,0cb7239dd5c958a463f22c79919f9dea327d61b3bde644b4d2bd92af8db8dbbc,SUCCESS,FAIL,True,True,True,32,32,32,0,0,0,test_results.csv,harness/executions/runs/batch05__Math_1__equals__math_1f_equals_line982/execution/m01.log,org.apache.commons.math3.linear.BlockFieldMatrixTest::testGetSetColumnMatrixLarge,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,6
Math,Math_1,batch05__Math_1__equals__math_1f_equals_line982,math_1f_equals__line982_1004,equals,m01,0cb7239dd5c958a463f22c79919f9dea327d61b3bde644b4d2bd92af8db8dbbc,SUCCESS,FAIL,True,True,True,32,32,32,0,0,0,test_results.csv,harness/executions/runs/batch05__Math_1__equals__math_1f_equals_line982/execution/m01.log,org.apache.commons.math3.linear.BlockFieldMatrixTest::testGetSetMatrixLarge,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,7
Math,Math_1,batch05__Math_1__equals__math_1f_equals_line982,math_1f_equals__line982_1004,equals,m01,0cb7239dd5c958a463f22c79919f9dea327d61b3bde644b4d2bd92af8db8dbbc,SUCCESS,FAIL,True,True,True,32,32,32,0,0,0,test_results.csv,harness/executions/runs/batch05__Math_1__equals__math_1f_equals_line982/execution/m01.log,org.apache.commons.math3.linear.BlockFieldMatrixTest::testGetSetRowMatrixLarge,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,8
Math,Math_1,batch05__Math_1__equals__math_1f_equals_line982,math_1f_equals__line982_1004,equals,m01,0cb7239dd5c958a463f22c79919f9dea327d61b3bde644b4d2bd92af8db8dbbc,SUCCESS,FAIL,True,True,True,32,32,32,0,0,0,test_results.csv,harness/executions/runs/batch05__Math_1__equals__math_1f_equals_line982/execution/m01.log,org.apache.commons.math3.linear.BlockFieldMatrixTest::testGetSubMatrix,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,9
Math,Math_1,batch05__Math_1__equals__math_1f_equals_line982,math_1f_equals__line982_1004,equals,m01,0cb7239dd5c958a463f22c79919f9dea327d61b3bde644b4d2bd92af8db8dbbc,SUCCESS,FAIL,True,True,True,32,32,32,0,0,0,test_results.csv,harness/executions/runs/batch05__Math_1__equals__math_1f_equals_line982/execution/m01.log,org.apache.commons.math3.linear.BlockFieldMatrixTest::testSerial,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,10
Math,Math_1,batch05__Math_1__equals__math_1f_equals_line982,math_1f_equals__line982_1004,equals,m01,0cb7239dd5c958a463f22c79919f9dea327d61b3bde644b4d2bd92af8db8dbbc,SUCCESS,FAIL,True,True,True,32,32,32,0,0,0,test_results.csv,harness/executions/runs/batch05__Math_1__equals__math_1f_equals_line982/execution/m01.log,org.apache.commons.math3.linear.BlockFieldMatrixTest::testSetColumnMatrix,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,11
Math,Math_1,batch05__Math_1__equals__math_1f_equals_line982,math_1f_equals__line982_1004,equals,m01,0cb7239dd5c958a463f22c79919f9dea327d61b3bde644b4d2bd92af8db8dbbc,SUCCESS,FAIL,True,True,True,32,32,32,0,0,0,test_results.csv,harness/executions/runs/batch05__Math_1__equals__math_1f_equals_line982/execution/m01.log,org.apache.commons.math3.linear.BlockFieldMatrixTest::testSetRowMatrix,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,12
Math,Math_1,batch05__Math_1__equals__math_1f_equals_line982,math_1f_equals__line982_1004,equals,m01,0cb7239dd5c958a463f22c79919f9dea327d61b3bde644b4d2bd92af8db8dbbc,SUCCESS,FAIL,True,True,True,32,32,32,0,0,0,test_results.csv,harness/executions/runs/batch05__Math_1__equals__math_1f_equals_line982/execution/m01.log,org.apache.commons.math3.linear.BlockFieldMatrixTest::testSetSubMatrix,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,13
Math,Math_1,batch05__Math_1__equals__math_1f_equals_line982,math_1f_equals__line982_1004,equals,m01,0cb7239dd5c958a463f22c79919f9dea327d61b3bde644b4d2bd92af8db8dbbc,SUCCESS,FAIL,True,True,True,32,32,32,0,0,0,test_results.csv,harness/executions/runs/batch05__Math_1__equals__math_1f_equals_line982/execution/m01.log,org.apache.commons.math3.linear.FieldMatrixImplTest::testCopyFunctions,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,14
Math,Math_1,batch05__Math_1__equals__math_1f_equals_line982,math_1f_equals__line982_1004,equals,m01,0cb7239dd5c958a463f22c79919f9dea327d61b3bde644b4d2bd92af8db8dbbc,SUCCESS,FAIL,True,True,True,32,32,32,0,0,0,test_results.csv,harness/executions/runs/batch05__Math_1__equals__math_1f_equals_line982/execution/m01.log,org.apache.commons.math3.linear.FieldMatrixImplTest::testCopySubMatrix,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,15
Math,Math_1,batch05__Math_1__equals__math_1f_equals_line982,math_1f_equals__line982_1004,equals,m01,0cb7239dd5c958a463f22c79919f9dea327d61b3bde644b4d2bd92af8db8dbbc,SUCCESS,FAIL,True,True,True,32,32,32,0,0,0,test_results.csv,harness/executions/runs/batch05__Math_1__equals__math_1f_equals_line982/execution/m01.log,org.apache.commons.math3.linear.FieldMatrixImplTest::testEqualsAndHashCode,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,16
